id,loan_amnt,term,interest_rate,grade,employment_length,purpose,credit_score,application_type,loan_status
88194295,1800.0,3 years,14.49,C4,,debt_consolidation,665.0,Individual,FullyPaid
5146039,1200.0,5 years,16.29,C4,2 years,debt_consolidation,700.0,Individual,ChargedOff
3095896,2000.0,5 years,21.98,E4,10 years,home_improvement,670.0,Individual,FullyPaid
88625044,1000.0,3 years,8.59,A5,4 years,debt_consolidation,710.0,Individual,FullyPaid
1178189,1500.0,3 years,13.99,C1,4 years,debt_consolidation,680.0,Individual,FullyPaid
125084179,310.0,3 years,7.35,A4,3 years,major_purchase,790.0,Individual,FullyPaid
93783030,1200.0,5 years,13.49,C2,7 years,debt_consolidation,730.0,Individual,FullyPaid
86983735,2000.0,5 years,13.99,C3,3 years,debt_consolidation,705.0,Individual,ChargedOff
84485766,550.0,3 years,9.49,B2,10 years,credit_card,690.0,Individual,ChargedOff
88964158,3500.0,5 years,18.99,D3,5 years,debt_consolidation,685.0,Joint App,ChargedOff
123889226,2400.0,3 years,9.93,B2,5 years,debt_consolidation,665.0,Individual,FullyPaid
4034773,3000.0,5 years,16.29,C4,3 years,debt_consolidation,705.0,Individual,FullyPaid
93710204,3500.0,5 years,11.44,B4,3 years,debt_consolidation,720.0,Joint App,ChargedOff
5165377,1600.0,5 years,21.98,E4,4 years,wedding,690.0,Individual,FullyPaid
85595860,800.0,3 years,23.99,E2,2 years,credit_card,660.0,Individual,ChargedOff
85512214,600.0,3 years,11.49,B5,10 years,debt_consolidation,670.0,Individual,FullyPaid
1353747,1200.0,3 years,8.9,A5,3 years,house,715.0,Individual,FullyPaid
3215463,1800.0,5 years,15.8,C3,10 years,debt_consolidation,690.0,Individual,ChargedOff
88116278,320.0,3 years,16.99,D1,8 years,debt_consolidation,695.0,Individual,FullyPaid
84699145,2500.0,3 years,5.32,A1,5 years,debt_consolidation,695.0,Individual,FullyPaid
88864525,1300.0,3 years,13.99,C3,1 year,debt_consolidation,730.0,Individual,FullyPaid
90230752,3000.0,5 years,19.99,D4,10 years,medical,670.0,Individual,FullyPaid
88906126,505.0,3 years,10.99,B4,5 years,debt_consolidation,665.0,Individual,FullyPaid
3379809,997.5,3 years,14.09,B5,6 years,credit_card,705.0,Individual,FullyPaid
86782461,1440.0,3 years,14.49,C4,3 years,debt_consolidation,690.0,Individual,FullyPaid
91535131,2000.0,3 years,18.99,D3,5 years,debt_consolidation,670.0,Individual,FullyPaid
91496353,1500.0,3 years,13.49,C2,10 years,credit_card,695.0,Individual,FullyPaid
5554748,607.5,3 years,14.09,B5,7 years,debt_consolidation,680.0,Individual,FullyPaid
95219020,320.0,3 years,11.44,B4,10 years,other,710.0,Individual,FullyPaid
3290360,1680.0,5 years,23.28,F2,3 years,debt_consolidation,670.0,Individual,ChargedOff
88381943,1000.0,5 years,12.79,C1,10 years,car,720.0,Individual,FullyPaid
1355996,3500.0,5 years,21.97,E5,7 years,debt_consolidation,690.0,Individual,FullyPaid
1481189,1350.0,3 years,10.16,B1,0 years,major_purchase,710.0,Individual,FullyPaid
3915562,500.0,3 years,17.27,C5,2 years,credit_card,690.0,Individual,FullyPaid
84616506,2500.0,5 years,14.49,C4,8 years,debt_consolidation,665.0,Individual,FullyPaid
84544881,2100.0,3 years,9.49,B2,5 years,vacation,740.0,Individual,FullyPaid
125845410,1000.0,5 years,14.08,C3,10 years,credit_card,670.0,Individual,FullyPaid
1350174,2367.5,5 years,17.99,D2,10 years,debt_consolidation,715.0,Individual,FullyPaid
1487490,325.0,3 years,6.03,A1,10 years,major_purchase,770.0,Individual,FullyPaid
4806756,1000.0,3 years,12.12,B3,9 years,debt_consolidation,710.0,Individual,FullyPaid
1369581,662.5,3 years,12.12,B3,10 years,debt_consolidation,710.0,Individual,FullyPaid
93863197,3500.0,3 years,12.74,C1,1 year,debt_consolidation,665.0,Joint App,FullyPaid
84839801,1400.0,3 years,9.49,B2,8 years,home_improvement,755.0,Individual,FullyPaid
4544926,2185.0,3 years,8.9,A5,1 year,debt_consolidation,700.0,Individual,FullyPaid
120650349,600.0,3 years,16.02,C5,4 years,home_improvement,660.0,Individual,FullyPaid
88220025,427.5,3 years,13.49,C2,10 years,home_improvement,680.0,Individual,ChargedOff
93909923,400.0,3 years,7.49,A4,0 years,debt_consolidation,685.0,Individual,FullyPaid
